Target Symbol	Chr	Gene Start	Gene End	Gene Width	Gene Strand	Gene Cytoband	Match Start	Match End	Match Width	L2R Status	L2R Value	L2R Segment Width	BAF Status	BAF Value	BAF Segment Width
RPTOR	chr17	78518624	78940173	421550	+	17q25.3	78518624	78937165	418542	Normal	0.00213365119656952	78537348	Hetero	0.5	78536207
YES1	chr18	721591	812327	90737	-	18p11.32	721591	812327	90737	Normal	-0.000497635431910941	75319666	Hetero	0.5	74858632
SS18	chr18	23596216	23671181	74966	-	18q11.2	23596216	23671181	74966	Normal	-0.000497635431910941	75319666	Hetero	0.5	74858632
SMAD2	chr18	45359465	45457517	98053	-	18q21.1	45359465	45457517	98053	Normal	-0.000497635431910941	75319666	Hetero	0.5	74858632
SMAD4	chr18	48556582	48611411	54830	+	18q21.2	48556582	48611411	54830	Normal	-0.000497635431910941	75319666	Hetero	0.5	74858632
NEDD4L	chr18	55711609	56068772	357164	+	18q21.31	55711609	56068772	357164	Normal	-0.000497635431910941	75319666	Hetero	0.5	74858632
BCL2	chr18	60790578	60986613	196036	-	18q21.33	60790578	60986613	196036	Normal	-0.000497635431910941	75319666	Hetero	0.5	74858632
STK11	chr19	1205797	1228434	22638	+	19p13.3	1205797	1208072	2276	Loss	-0.0535151623723934	960841	Hetero	0.5	58277894
STK11	chr19	1205797	1228434	22638	+	19p13.3	1209048	1228434	19387	Loss	-0.380028924518021	101450	Hetero	0.5	58277894
PLK5	chr19	1524072	1535455	11384	+	19p13.3	1524072	1535455	11384	Loss	-0.0701985493485494	4218557	Hetero	0.5	58277894
DOT1L	chr19	2164147	2232577	68431	+	19p13.3	2164147	2232577	68431	Loss	-0.0701985493485494	4218557	Hetero	0.5	58277894
GNA11	chr19	3094407	3124000	29594	+	19p13.3	3094407	3124000	29594	Loss	-0.0701985493485494	4218557	Hetero	0.5	58277894
MAP2K2	chr19	4090319	4124126	33808	-	19p13.3	4090319	4124126	33808	Loss	-0.0701985493485494	4218557	Hetero	0.5	58277894
MAP2K7	chr19	7968664	7979368	10705	+	19p13.2	7968664	7979368	10705	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
KEAP1	chr19	10596795	10614054	17260	-	19p13.2	10596795	10614054	17260	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
SMARCA4	chr19	11071597	11172958	101362	+	19p13.2	11071597	11172958	101362	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
DAND5	chr19	13080431	13085567	5137	+	19p13.2	13080431	13085567	5137	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
BRD4	chr19	15348300	15391262	42963	-	19p13.12	15348300	15391262	42963	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
TPM4	chr19	16178316	16213813	35498	+	19p13.12	16178316	16213813	35498	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
JAK3	chr19	17935592	17958841	23250	-	19p13.11	17935592	17958841	23250	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
PIK3R2	chr19	18263987	18281343	17357	+	19p13.11	18263987	18281343	17357	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
MEF2B	chr19	19256375	19281098	24724	-	19p13.11	19256375	19281098	24724	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
CCNE1	chr19	30302900	30315224	12325	+	19q12	30302900	30315224	12325	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
CEBPA	chr19	33790839	33793470	2632	-	19q13.11	33790839	33793470	2632	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
KMT2B	chr19	36208920	36229781	20862	+	19q13.12	36208920	36229781	20862	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
DPF1	chr19	38701645	38720354	18710	-	19q13.2	38701645	38720354	18710	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
AKT2	chr19	40736223	40791302	55080	-	19q13.2	40736223	40791302	55080	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
AXL	chr19	41725103	41767672	42570	+	19q13.2	41725103	41767672	42570	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
TGFB1	chr19	41836435	41859838	23404	-	19q13.2	41836435	41859838	23404	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
CEACAM5	chr19	42212503	42234341	21839	+	19q13.2	42212503	42234341	21839	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
CD79A	chr19	42381189	42385439	4251	+	19q13.2	42381189	42385439	4251	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
CIC	chr19	42772688	42799948	27261	+	19q13.2	42772688	42799948	27261	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
PSG1	chr19	43370612	43383871	13260	-	19q13.2	43370612	43383871	13260	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
ERCC2	chr19	45854648	45873845	19198	-	19q13.32	45854648	45873845	19198	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
BAX	chr19	49458116	49465055	6940	+	19q13.33	49458116	49465055	6940	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
POLD1	chr19	50887579	50921275	33697	+	19q13.33	50887579	50921275	33697	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
PPP2R1A	chr19	52693054	52729678	36625	+	19q13.41	52693054	52729678	36625	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
KIR3DL1	chr19	55327892	55342233	14342	+	19q13.42	55327892	55342233	14342	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
AURKC	chr19	57742376	57746916	4541	+	19q13.43	57742376	57746916	4541	Normal	0.0133293716742894	53527008	Hetero	0.5	58277894
ASXL1	chr20	30946146	31027122	80977	+	20q11.21	30946146	31027122	80977	Normal	0.0166007347498841	62843370	Hetero	0.5	62797502
ITCH	chr20	32951040	33099578	148539	+	20q11.22	32951040	33099578	148539	Normal	0.0166007347498841	62843370	Hetero	0.5	62797502
SRC	chr20	35973087	36033835	60749	+	20q11.23	35973087	36033835	60749	Normal	0.0166007347498841	62843370	Hetero	0.5	62797502
TOP1	chr20	39657461	39753126	95666	+	20q12	39657461	39753126	95666	Normal	0.0166007347498841	62843370	Hetero	0.5	62797502
MYBL2	chr20	42295658	42345136	49479	+	20q13.12	42295658	42345136	49479	Normal	0.0166007347498841	62843370	Hetero	0.5	62797502
SDC4	chr20	43953928	43977064	23137	-	20q13.12	43953928	43977064	23137	Normal	0.0166007347498841	62843370	Hetero	0.5	62797502
MMP9	chr20	44637546	44645200	7655	+	20q13.12	44637546	44645200	7655	Normal	0.0166007347498841	62843370	Hetero	0.5	62797502
AURKA	chr20	54944444	54967393	22950	-	20q13.2	54944444	54967393	22950	Normal	0.0166007347498841	62843370	Hetero	0.5	62797502
GNAS	chr20	57414772	57486251	71480	+	20q13.32	57414772	57486251	71480	Normal	0.0166007347498841	62843370	Hetero	0.5	62797502
SS18L1	chr20	60718775	60757566	38792	+	20q13.33	60718775	60757566	38792	Normal	0.0166007347498841	62843370	Hetero	0.5	62797502
ARFRP1	chr20	62329994	62339365	9372	-	20q13.33	62329994	62339365	9372	Normal	0.0166007347498841	62843370	Hetero	0.5	62797502
RUNX1	chr21	36160097	36421595	261499	-	21q22.12	36160097	36421595	261499	Normal	0.00899778145764908	38449296	Hetero	0.5	31692825
ERG	chr21	39739182	40033704	294523	-	21q22.2	39739182	40033704	294523	Normal	0.00899778145764908	38449296	Hetero	0.5	31692825
TMPRSS2	chr21	42836477	42880085	43609	-	21q22.3	42836477	42880085	43609	Normal	0.00899778145764908	38449296	Hetero	0.5	31692825
U2AF1	chr21	44513065	44527688	14624	-	21q22.3	44513065	44527688	14624	Normal	0.00899778145764908	38449296	Hetero	0.5	31692825
BID	chr22	18216905	18257431	40527	-	22q11.21	18216905	18257431	40527	Loss	-0.506434465062313	8286676	Unbalanced	0.250127703405735	11802230
CRKL	chr22	21271713	21308037	36325	+	22q11.21	21271713	21308037	36325	Loss	-0.506434465062313	8286676	Unbalanced	0.250127703405735	11802230
MAPK1	chr22	22113946	22221970	108025	-	22q11.21	22113946	22221970	108025	Loss	-0.506434465062313	8286676	Unbalanced	0.250127703405735	11802230
BCR	chr22	23522551	23660224	137674	+	22q11.23	23522551	23660224	137674	Loss	-0.506434465062313	8286676	Unbalanced	0.250127703405735	11802230
SMARCB1	chr22	24129117	24176705	47589	+	22q11.23	24129117	24176705	47589	Loss	-0.506434465062313	8286676	Unbalanced	0.250127703405735	11802230
EWSR1	chr22	29663997	29696515	32519	+	22q12.2	29663997	29696515	32519	Loss	-0.555731805597288	2685259	Unbalanced	0.236208889045213	2629522
NF2	chr22	29999544	30094589	95046	+	22q12.2	29999544	30094589	95046	Loss	-0.555731805597288	2685259	Unbalanced	0.236208889045213	2629522
SOX10	chr22	38368318	38380539	12222	-	22q13.1	38368318	38380539	12222	Loss	-0.461624779490104	19406452	Unbalanced	0.249193154667192	18951499
PDGFB	chr22	39619363	39641060	21698	-	22q13.1	39619363	39641060	21698	Loss	-0.461624779490104	19406452	Unbalanced	0.249193154667192	18951499
EP300	chr22	41488613	41576081	87469	+	22q13.2	41488613	41576081	87469	Loss	-0.461624779490104	19406452	Unbalanced	0.249193154667192	18951499
TLR8	chrX	12924738	12941288	16551	+	Xp22.2	12924738	12941288	16551	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
PDHA1	chrX	19362010	19379826	17817	+	Xp22.12	19362010	19379826	17817	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
BCOR	chrX	39910498	40036582	126085	-	Xp11.4	39910498	40036582	126085	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
ARAF	chrX	47420498	47431320	10823	+	Xp11.23	47420498	47431320	10823	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
SSX1	chrX	48114751	48126879	12129	+	Xp11.23	48114751	48126879	12129	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
SSX4	chrX	48242967	48252785	9819	+	Xp11.23	48242967	48252785	9819	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
SSX4	chrX	48261523	48271344	9822	-	Xp11.23	48261523	48271344	9822	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
PORCN	chrX	48367346	48379202	11857	+	Xp11.23	48367346	48379202	11857	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
GATA1	chrX	48644981	48652717	7737	+	Xp11.23	48644981	48652717	7737	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
HDAC6	chrX	48659783	48683392	23610	+	Xp11.23	48659783	48683392	23610	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
CCNB3	chrX	50027539	50094911	67373	+	Xp11.22	50027539	50094911	67373	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
SSX2	chrX	52725945	52736277	10333	-	Xp11.22	52725945	52736277	10333	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
SSX2	chrX	52780279	52790617	10339	+	Xp11.22	52780279	52790617	10339	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
AMER1	chrX	63404996	63425624	20629	-	Xq11.2	63404996	63425624	20629	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
MSN	chrX	64887510	64961793	74284	+	Xq12	64887510	64961793	74284	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
AR	chrX	66763873	66950461	186589	+	Xq12	66763873	66950461	186589	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
MED12	chrX	70338405	70362304	23900	+	Xq13.1	70338405	70362304	23900	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
ATRX	chrX	76760355	77041755	281401	-	Xq21.1	76760355	77041755	281401	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
BTK	chrX	100604434	100645784	41351	-	Xq22.1	100604434	100645784	41351	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
PAK3	chrX	110187468	110470589	283122	+	Xq23	110187468	110470589	283122	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
STAG2	chrX	123094409	123236505	142097	+	Xq25	123094409	123236505	142097	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
BCORL1	chrX	129139163	129192058	52896	+	Xq26.1	129139163	129192058	52896	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
